#,Player,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF
33.,Sam Griffin,MERK,29,19.9,12.0,4.4,9.5,464,1.4,3.3,442,1.8,1.9,927,0.2,1.3,1.5,1.3,0.5,0.0,1.4,1.3
34.,Hugo Besson,TOF,30,23.7,12.0,3.7,8.4,444,1.6,4.4,353,2.9,3.5,838,0.4,2.9,3.4,1.8,0.8,0.1,1.4,1.9
35.,Maozinha Pereira,MANI,26,24.4,11.7,5.0,9.0,558,0.6,2.3,262,1.1,1.8,596,2.2,3.8,6.0,1.2,1.4,1.6,0.9,2.6
36.,Erik Stevenson,MANI,18,24.8,11.7,4.2,12.2,347,2.3,7.5,304,0.9,1.1,850,0.8,2.8,3.6,2.4,0.7,0.4,2.1,3.1
37.,Dogus Ozdemiroglu,TUR,30,25.8,11.6,3.5,9.1,390,1.5,4.4,344,3.0,4.6,664,0.9,2.9,3.8,5.3,2.2,0.2,2.7,2.7
38.,Scoochie Smith,MANI,30,31.1,11.6,3.4,10.2,333,1.8,5.4,340,3.0,3.6,817,0.4,2.4,2.8,6.1,1.3,0.1,2.5,2.0
39.,Saben Lee,EFE,10,22.9,11.6,3.4,7.1,479,0.7,2.6,269,4.1,5.3,774,0.7,1.7,2.4,4.4,0.7,0.1,1.8,1.7
40.,Malik Parsons,BURS,18,25.3,11.6,4.0,8.4,477,0.7,2.3,310,2.8,3.3,850,0.4,1.3,1.8,2.3,1.3,0.1,2.3,2.3
41.,Roko Badzim,MERK,30,25.7,11.5,3.9,8.4,458,2.1,5.2,401,1.7,2.1,810,0.6,1.8,2.4,3.1,0.7,0.1,1.5,2.4
42.,Sehmus Hazer,EFE,30,20.0,11.4,3.7,7.5,491,1.3,3.0,427,2.8,3.9,703,0.4,1.7,2.1,2.4,0.9,0.2,1.1,1.5
43.,Caleb Homesley,BAHC,27,23.2,11.3,3.6,9.2,390,1.4,4.7,291,2.7,3.6,771,0.5,2.7,3.2,2.6,1.0,0.3,1.9,2.3
44.,Isaiah Miles,MERK,20,26.5,11.3,3.9,7.1,546,1.8,3.9,455,1.8,2.1,878,0.9,3.2,4.1,1.1,0.9,0.3,0.9,2.6
45.,Stefan Moody,PIN,21,29.9,11.2,3.6,9.1,398,1.6,5.7,283,2.4,2.8,862,0.4,2.8,3.2,4.5,0.8,0.2,3.0,2.1
46.,Tony Taylor,TRA,26,24.9,11.2,4.0,8.2,493,1.3,3.7,368,1.8,2.1,855,0.3,1.4,1.7,4.6,0.6,0.1,1.0,2.8
47.,Gabriel Olaseni,MER,30,25.9,11.1,4.0,7.0,579,0.0,0.0,0,3.0,3.9,771,2.7,5.1,7.8,1.7,0.7,0.4,2.0,2.7
48.,Hunter Hale,BAHC,25,19.0,11.1,3.5,8.0,440,1.9,4.9,385,2.2,2.5,871,0.4,2.0,2.4,2.2,0.9,0.2,1.5,2.0
49.,Yigitcan Saybir,TOF,27,28.1,11.0,4.1,7.7,541,0.9,2.4,359,1.9,3.0,638,1.8,3.0,4.8,1.9,1.1,0.2,1.5,1.8
